Cust_ID,Gender,Device,First_timer,Channel ,Day,Min_spent,Clicks,Annual_inc,Country,Age,Purchased,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
D#71430O,female,PC,0,Google search,THU,6,24,100000,Mexico,27,1,0,0,0,0
N#10327S,male,Mobile,1,Google search,TUE,3,16,40000,Russia,26,0,0,0,0,0
V#62593Y,female,Tablet,0,Youtube channel,SUN,13,14,76000,USA,38,0,0,0,0,0
O#36172L,female,PC,1,Google search,MON,6,26,25000,Malaysia,61,1,0,0,0,0
X#49560F,male,PC,1,Affiliate link,TUE,12,23,10000,Ireland,64,0,0,0,0,0
M#30110X,female,PC,0,Referral,TUE,6,25,58000,Malaysia,20,1,0,0,0,0
H#56007H,male,PC,1,Youtube channel,FRI,15,14,25000,Canada,41,0,0,0,0,0
H#55155O,female,Mobile,0,Affiliate link,MON,7,27,100000,Canada,35,0,0,0,0,0
A#49330Q,female,Mobile,0,Social media ads,FRI,9,21,100000,Japan,59,0,0,0,0,0
Y#98123I,female,Other,1,Email ,WED,4,23,76000,USA,45,0,0,0,0,0
F#77497S,male,Other,1,Other,FRI,3,17,100000,Russia,21,1,0,0,0,0
K#73653A,female,PC,1,Social media ads,FRI,15,25,10000,USA,61,1,0,0,0,0
J#96450J,female,PC,0,Other,MON,6,19,58000,UK,48,1,0,0,0,0
C#87058X,male,PC,0,Website,THU,13,13,10000,UK,34,0,0,0,0,0
S#35228F,male,Other,1,Affiliate link,MON,11,19,100000,USA,40,0,0,0,0,0
J#81442V,male,Other,0,Youtube channel,FRI,14,23,35000,Malaysia,64,0,0,0,0,0
H#10106G,male,Tablet,0,Social media ads,MON,5,18,25000,China,17,1,0,0,0,0
C#64348H,male,Tablet,0,Google search,WED,7,20,40000,Japan,24,1,0,0,0,0
X#36856W,male,Tablet,1,Website,SUN,6,14,10000,Canada,68,0,0,0,0,0
Q#43865D,female,Mobile,0,Google search,SUN,8,18,58000,UK,29,0,0,0,0,0
T#19587L,female,PC,1,Website,SAT,4,20,100000,Japan,43,1,0,0,0,0
C#31706Q,female,Other,1,Other,FRI,7,22,35000,Japan,48,0,0,0,0,0
D#40625S,male,Tablet,1,Youtube channel,WED,8,26,100000,Ireland,17,1,0,0,0,0
D#98260A,male,PC,0,Youtube channel,FRI,6,17,58000,UK,61,1,0,0,0,0
J#48014N,male,Tablet,1,Google search,SAT,14,25,35000,Russia,19,0,0,0,0,0
H#34208L,male,Tablet,0,Youtube channel,SUN,4,16,40000,Russia,42,1,0,0,0,0
E#33546N,male,PC,1,Website,SAT,8,13,40000,USA,34,1,0,0,0,0
F#44609R,male,Tablet,1,Google search,TUE,9,18,40000,Canada,45,0,0,0,0,0
I#90600B,male,PC,1,Affiliate link,FRI,2,19,58000,USA,40,0,0,0,0,0
G#96231Y,female,Tablet,0,Email ,FRI,4,17,100000,Japan,41,0,0,0,0,0
P#29351O,female,Mobile,1,Affiliate link,MON,3,20,58000,Canada,19,1,0,0,0,0
A#16080N,female,PC,1,Referral,THU,4,20,40000,India,69,0,0,0,0,0
P#63223G,male,PC,1,Other,WED,7,25,35000,USA,16,1,0,0,0,0
B#30568T,female,PC,0,Google search,SAT,10,26,58000,USA,52,1,0,0,0,0
O#41495Y,male,Mobile,0,Google search,MON,2,19,25000,Russia,62,0,0,0,0,0
T#26722J,male,Mobile,1,Social media ads,SAT,8,23,100000,Canada,30,0,0,0,0,0
E#46616O,male,Other,0,Referral,SAT,8,25,35000,Malaysia,58,1,0,0,0,0
C#17502M,male,Tablet,0,Email ,SAT,4,27,10000,Malaysia,52,1,0,0,0,0
H#49471D,female,Other,1,Google search,FRI,11,19,40000,Malaysia,18,0,0,0,0,0
I#73780B,male,Other,1,Youtube channel,WED,5,27,100000,India,32,0,0,0,0,0
A#58964U,male,Other,1,Affiliate link,FRI,8,27,35000,Ireland,64,0,0,0,0,0
Z#91574Y,female,Mobile,1,Other,SUN,7,25,58000,Russia,54,1,0,0,0,0
Z#58635J,male,Mobile,1,Social media ads,THU,12,22,10000,UK,65,1,0,0,0,0
G#58889J,male,Other,0,Referral,WED,15,14,10000,China,30,0,0,0,0,0
T#33104T,female,Other,1,Email ,MON,14,17,25000,UK,25,0,0,0,0,0
P#42997C,female,Tablet,1,Social media ads,WED,13,16,58000,Ireland,57,1,0,0,0,0
Z#37251N,male,Tablet,0,Google search,SAT,10,16,10000,USA,33,1,0,0,0,0
O#17397C,female,Mobile,0,Email ,FRI,2,14,100000,India,67,1,0,0,0,0
M#11791M,male,Mobile,0,Email ,THU,10,26,25000,Malaysia,33,0,0,0,0,0
Q#74184O,male,PC,0,Affiliate link,SUN,8,13,76000,Malaysia,26,1,0,0,0,0
P#48612J,male,Mobile,1,Email ,SUN,11,19,40000,Malaysia,66,1,0,0,0,0
K#20753V,female,Mobile,0,Affiliate link,THU,15,19,100000,Ireland,45,0,0,0,0,0
P#15692V,male,Mobile,0,Website,WED,3,17,58000,Malaysia,26,0,0,0,0,0
B#89159R,female,Tablet,0,Website,SUN,5,27,35000,Canada,58,1,0,0,0,0
T#10288T,male,Mobile,0,Website,TUE,11,19,100000,UK,20,0,0,0,0,0
G#67626K,male,PC,1,Website,TUE,5,26,25000,Russia,26,1,0,0,0,0
D#39980B,female,PC,1,Affiliate link,WED,15,15,100000,India,44,0,0,0,0,0
Z#16881F,male,Mobile,1,Youtube channel,WED,6,15,35000,India,41,1,0,0,0,0
V#11308O,female,Other,1,Referral,FRI,14,19,76000,China,51,1,0,0,0,0
A#18683S,female,PC,0,Social media ads,MON,12,15,58000,Malaysia,23,1,0,0,0,0
W#38641N,female,Mobile,1,Google search,FRI,8,27,58000,Mexico,65,1,0,0,0,0
D#78252J,female,PC,0,Email ,FRI,6,16,100000,Canada,24,1,0,0,0,0
F#26506X,female,Tablet,0,Youtube channel,THU,9,23,76000,Russia,45,1,0,0,0,0
N#64198U,female,Other,1,Google search,MON,4,18,58000,Mexico,41,0,0,0,0,0
J#96259U,male,PC,1,Email ,THU,6,26,25000,Malaysia,37,1,0,0,0,0
D#36778S,male,Mobile,0,Email ,SAT,4,15,25000,USA,33,1,0,0,0,0
E#30887C,male,Mobile,0,Other,WED,2,14,76000,USA,28,0,0,0,0,0
F#68492M,female,Tablet,1,Social media ads,SAT,4,13,58000,Mexico,22,1,0,0,0,0
M#86027U,female,Mobile,1,Youtube channel,SUN,15,20,100000,Mexico,62,0,0,0,0,0
Z#22688W,male,Mobile,0,Other,TUE,5,19,76000,Canada,60,0,0,0,0,0
X#61724U,male,Mobile,0,Website,FRI,4,18,58000,UK,47,1,0,0,0,0
U#61327G,male,Other,0,Other,THU,3,18,25000,Russia,34,0,0,0,0,0
P#74042K,male,Tablet,1,Affiliate link,TUE,10,14,100000,Russia,30,1,0,0,0,0
K#80534U,male,Mobile,0,Website,SUN,13,13,100000,Russia,43,0,0,0,0,0
T#82270V,female,Other,1,Affiliate link,SAT,3,14,40000,Mexico,20,1,0,0,0,0
P#87495N,male,Tablet,0,Social media ads,TUE,15,14,58000,India,51,0,0,0,0,0
V#41857B,male,Mobile,1,Email ,MON,6,20,40000,Canada,19,1,0,0,0,0
A#79638U,male,Mobile,0,Referral,SUN,13,18,35000,Malaysia,25,0,0,0,0,0
N#94827K,female,Other,0,Youtube channel,MON,4,24,40000,USA,54,1,0,0,0,0
Y#37448J,female,PC,1,Email ,WED,8,22,35000,India,32,1,0,0,0,0
Y#31955L,female,Other,1,Email ,FRI,4,27,40000,India,50,0,0,0,0,0
X#17582N,female,PC,1,Google search,SAT,6,15,25000,China,63,1,0,0,0,0
V#65078X,male,Mobile,1,Other,MON,2,21,35000,Russia,47,1,0,0,0,0
H#31011A,female,Tablet,0,Website,THU,2,25,58000,India,35,1,0,0,0,0
T#49777C,female,PC,1,Other,SUN,3,24,58000,USA,35,0,0,0,0,0
J#59898A,male,Other,0,Referral,MON,5,19,25000,Russia,70,1,0,0,0,0
P#71361R,male,Other,0,Social media ads,SUN,15,18,40000,UK,64,1,0,0,0,0
V#96200X,male,PC,0,Email ,WED,12,24,35000,India,39,0,0,0,0,0
Q#67766H,male,Other,0,Referral,SAT,15,22,100000,UK,38,1,0,0,0,0
Z#45809K,female,Tablet,0,Email ,WED,7,20,76000,Russia,57,1,0,0,0,0
R#99195Y,male,Mobile,1,Google search,SAT,12,24,76000,Mexico,67,1,0,0,0,0
X#66646B,female,Other,0,Referral,FRI,15,16,25000,Malaysia,64,0,0,0,0,0
E#66992K,female,Mobile,1,Affiliate link,SUN,12,26,76000,Mexico,22,0,0,0,0,0
F#53954U,male,Tablet,1,Social media ads,SAT,2,22,25000,Mexico,20,1,0,0,0,0
Y#66442C,male,Mobile,1,Referral,SAT,2,16,10000,Ireland,24,0,0,0,0,0
Y#87048T,female,Other,1,Other,FRI,10,16,35000,Ireland,57,0,0,0,0,0
L#72287N,male,Other,0,Social media ads,FRI,2,14,25000,USA,21,1,0,0,0,0
G#89160V,male,Tablet,1,Social media ads,WED,15,23,10000,Japan,52,1,0,0,0,0
S#84722P,male,Tablet,1,Affiliate link,THU,15,26,40000,Malaysia,28,1,0,0,0,0
L#50307D,male,PC,1,Youtube channel,WED,7,23,100000,China,57,1,0,0,0,0
M#29423W,male,PC,0,Google search,TUE,3,17,40000,Japan,44,0,0,0,0,0
D#12271U,male,Mobile,1,Email ,FRI,8,18,25000,Japan,29,1,0,0,0,0
E#27775V,female,Tablet,0,Google search,SAT,15,16,35000,Russia,29,0,0,0,0,0
U#37148Y,male,Other,0,Google search,MON,2,21,35000,Japan,31,0,0,0,0,0
I#27780K,female,Other,1,Other,TUE,15,19,58000,Japan,23,0,0,0,0,0
S#76371M,female,Mobile,1,Website,TUE,2,13,25000,Canada,51,0,0,0,0,0
Z#40684W,male,Tablet,0,Youtube channel,MON,15,19,100000,Canada,22,0,0,0,0,0
J#61720N,female,PC,0,Social media ads,SAT,3,25,40000,Ireland,69,1,0,0,0,0
M#40809F,female,PC,0,Social media ads,FRI,13,21,40000,Malaysia,20,1,0,0,0,0
X#33038M,male,Other,1,Affiliate link,SAT,14,26,100000,Malaysia,53,1,0,0,0,0
D#60891Q,male,PC,0,Social media ads,SAT,2,20,25000,Malaysia,23,0,0,0,0,0
N#60231X,male,PC,0,Email ,FRI,6,18,25000,UK,54,0,0,0,0,0
K#22720D,female,PC,0,Google search,FRI,9,26,40000,Malaysia,27,0,0,0,0,0
X#54451D,female,Other,1,Referral,SUN,8,27,58000,UK,31,0,0,0,0,0
B#31806H,female,Tablet,1,Social media ads,MON,10,17,100000,Malaysia,44,0,0,0,0,0
E#96828L,female,Tablet,1,Website,FRI,9,22,76000,India,40,0,0,0,0,0
J#33228H,male,Mobile,0,Youtube channel,WED,9,19,40000,USA,53,0,0,0,0,0
L#16954G,male,PC,0,Email ,TUE,5,23,25000,Malaysia,49,0,0,0,0,0
M#90315P,male,Mobile,0,Affiliate link,THU,6,22,10000,USA,17,0,0,0,0,0
I#57340H,female,Other,0,Affiliate link,SAT,11,24,35000,Malaysia,64,0,0,0,0,0
O#85051V,male,PC,0,Website,MON,14,14,25000,Russia,18,1,0,0,0,0
S#38171Y,female,PC,1,Social media ads,FRI,5,19,58000,UK,36,0,0,0,0,0
K#58052T,female,Mobile,0,Email ,WED,8,20,100000,India,63,1,0,0,0,0
G#23913D,male,Mobile,0,Social media ads,THU,13,13,76000,Ireland,59,1,0,0,0,0
V#44575Y,female,PC,1,Affiliate link,SUN,8,19,10000,Malaysia,70,0,0,0,0,0
C#19571R,female,PC,0,Email ,THU,11,21,58000,India,31,1,0,0,0,0
C#17288S,male,Other,0,Other,FRI,15,24,100000,UK,51,1,0,0,0,0
W#80895Q,female,PC,1,Google search,SUN,11,18,10000,Russia,41,0,0,0,0,0
R#40541U,male,Tablet,1,Affiliate link,WED,10,14,100000,India,17,0,0,0,0,0
Z#91877B,male,Other,0,Social media ads,MON,13,26,35000,Ireland,39,0,0,0,0,0
Z#29042X,male,Mobile,0,Affiliate link,TUE,2,26,58000,USA,51,0,0,0,0,0
I#56636U,female,Mobile,1,Google search,SUN,4,19,40000,Ireland,66,0,0,0,0,0
N#27914O,female,Other,1,Email ,TUE,15,17,76000,China,49,0,0,0,0,0
T#22942B,male,Tablet,1,Google search,FRI,9,22,25000,Malaysia,54,1,0,0,0,0
G#35039J,female,Other,0,Google search,FRI,10,24,76000,UK,32,1,0,0,0,0
T#93813R,male,Other,0,Social media ads,TUE,6,27,35000,China,67,0,0,0,0,0
Z#50696U,male,Other,0,Social media ads,FRI,9,15,40000,Russia,28,0,0,0,0,0
F#86081D,male,Other,1,Google search,WED,2,23,35000,USA,62,0,0,0,0,0
T#18569Q,male,Other,0,Affiliate link,FRI,6,23,10000,India,69,1,0,0,0,0
G#49377X,female,Tablet,0,Youtube channel,MON,14,23,10000,Ireland,66,1,0,0,0,0
I#95275F,female,Tablet,0,Affiliate link,SUN,15,21,76000,Mexico,68,0,0,0,0,0
J#15354H,male,Mobile,1,Social media ads,TUE,11,16,76000,Malaysia,25,0,0,0,0,0
W#33207D,male,Other,0,Other,WED,2,26,40000,Ireland,19,1,0,0,0,0
G#25635Q,female,Other,0,Email ,TUE,5,22,100000,China,51,0,0,0,0,0
N#58098K,male,PC,0,Social media ads,THU,15,22,58000,India,60,1,0,0,0,0
T#29597I,female,Tablet,0,Referral,SUN,12,21,58000,Ireland,32,0,0,0,0,0
M#81390C,female,PC,0,Referral,THU,11,13,10000,USA,63,1,0,0,0,0
G#80647K,male,Other,1,Email ,SUN,9,13,25000,USA,23,0,0,0,0,0
T#13224U,male,PC,1,Youtube channel,MON,6,21,35000,Russia,39,1,0,0,0,0
P#62371L,male,Tablet,1,Google search,MON,6,23,10000,Russia,68,1,0,0,0,0
C#69700B,male,Tablet,1,Social media ads,THU,7,27,25000,Canada,29,1,0,0,0,0
J#85616O,female,Other,0,Referral,SAT,10,14,76000,Ireland,52,0,0,0,0,0
N#33339K,female,PC,1,Website,TUE,5,16,35000,USA,53,1,0,0,0,0
V#96465E,female,Mobile,0,Social media ads,WED,5,18,76000,Russia,21,1,0,0,0,0
A#81029L,female,Mobile,1,Website,WED,8,27,76000,UK,25,1,0,0,0,0
L#24028Y,male,PC,1,Affiliate link,WED,13,24,35000,Japan,26,0,0,0,0,0
N#62746Q,female,PC,0,Affiliate link,TUE,11,17,25000,Japan,48,0,0,0,0,0
M#24200H,male,Mobile,0,Social media ads,FRI,14,15,40000,Russia,46,1,0,0,0,0
F#72883R,male,Other,1,Other,SAT,10,16,25000,UK,45,1,0,0,0,0
O#48915Q,female,Tablet,0,Email ,TUE,13,22,76000,USA,27,0,0,0,0,0
C#80591E,male,Other,1,Referral,SUN,3,15,58000,China,56,1,0,0,0,0
K#76431N,female,Mobile,0,Referral,THU,2,23,76000,Mexico,43,0,0,0,0,0
L#79702O,female,Tablet,1,Google search,TUE,5,18,35000,Mexico,31,1,0,0,0,0
S#82941V,male,PC,0,Email ,SAT,8,15,10000,USA,38,1,0,0,0,0
A#82874A,male,Other,1,Referral,THU,8,15,40000,Russia,27,0,0,0,0,0
D#57958O,female,PC,1,Other,WED,12,15,25000,Ireland,61,1,0,0,0,0
J#97010Q,female,PC,0,Other,SUN,4,14,10000,Malaysia,18,1,0,0,0,0
Z#33009J,female,Other,1,Email ,SUN,13,14,10000,USA,50,0,0,0,0,0
Z#26593R,male,Other,0,Youtube channel,THU,3,13,35000,UK,68,1,0,0,0,0
N#32076Q,female,Mobile,0,Affiliate link,SUN,4,17,35000,Malaysia,68,0,0,0,0,0
O#76835V,female,Tablet,0,Other,FRI,4,17,76000,Mexico,42,1,0,0,0,0
Q#27461P,female,Tablet,1,Youtube channel,WED,15,17,40000,Malaysia,65,1,0,0,0,0
T#57488K,male,Other,0,Email ,MON,5,23,100000,Malaysia,62,0,0,0,0,0
D#62852T,male,Tablet,0,Youtube channel,WED,5,23,76000,USA,46,0,0,0,0,0
Q#96291X,female,Other,1,Other,FRI,10,15,40000,Japan,60,0,0,0,0,0
K#41922C,male,Other,0,Affiliate link,WED,2,22,58000,China,45,1,0,0,0,0
F#75643P,male,PC,0,Referral,SUN,12,19,35000,Mexico,39,0,0,0,0,0
Y#60677G,female,Other,0,Other,SAT,15,18,100000,China,55,1,0,0,0,0
Y#64395P,male,Other,0,Other,SAT,12,24,40000,Mexico,52,1,0,0,0,0
R#30531R,male,PC,1,Referral,MON,11,26,76000,Japan,44,1,0,0,0,0
M#22986F,female,Other,0,Youtube channel,WED,3,13,10000,Mexico,30,0,0,0,0,0
V#71562D,male,Mobile,0,Google search,SAT,14,14,35000,USA,17,0,0,0,0,0
A#45474N,female,Tablet,1,Website,THU,15,18,40000,USA,55,1,0,0,0,0
Y#46935N,male,PC,0,Referral,TUE,15,26,35000,Japan,30,0,0,0,0,0
W#60308H,male,Other,1,Youtube channel,SAT,2,16,100000,Ireland,30,0,0,0,0,0
M#12879M,male,Mobile,0,Referral,SAT,12,25,35000,Japan,44,0,0,0,0,0
L#59083G,male,Mobile,0,Email ,WED,13,18,10000,Ireland,28,0,0,0,0,0
S#66543Q,male,Tablet,0,Other,TUE,2,20,58000,Russia,34,1,0,0,0,0
K#51220X,male,PC,0,Google search,SAT,14,13,76000,Russia,64,0,0,0,0,0
V#67539V,male,PC,1,Social media ads,TUE,2,13,10000,UK,50,0,0,0,0,0
C#65043X,female,Mobile,0,Affiliate link,SUN,11,24,35000,India,63,1,0,0,0,0
L#73729O,male,Tablet,0,Affiliate link,SAT,4,16,100000,Mexico,29,1,0,0,0,0
L#99903H,male,Tablet,1,Affiliate link,THU,12,21,76000,Ireland,45,0,0,0,0,0
Y#87556F,male,Tablet,0,Google search,TUE,13,13,40000,Canada,55,1,0,0,0,0
J#66072C,male,PC,1,Google search,THU,14,25,25000,Russia,42,0,0,0,0,0
D#18631T,female,Tablet,1,Affiliate link,TUE,15,16,100000,Ireland,33,0,0,0,0,0
T#62055R,male,Other,0,Social media ads,THU,11,15,10000,China,20,1,0,0,0,0
I#12738G,male,Mobile,0,Other,MON,4,14,100000,China,34,1,0,0,0,0
W#21499D,male,Tablet,0,Other,FRI,9,22,40000,Japan,55,1,0,0,0,0
N#95397I,female,Mobile,1,Youtube channel,MON,6,16,76000,India,25,1,0,0,0,0
V#11673A,male,Other,1,Youtube channel,MON,3,17,25000,Malaysia,55,0,0,0,0,0
U#64275V,male,Other,0,Email ,THU,14,13,35000,UK,32,0,0,0,0,0
Q#72705N,female,Mobile,1,Email ,SAT,3,13,40000,UK,47,0,0,0,0,0
Z#35278R,male,Other,1,Website,WED,9,25,40000,USA,19,0,0,0,0,0
E#19260A,male,PC,0,Other,SAT,4,13,76000,China,45,0,0,0,0,0
Z#70644M,female,Tablet,1,Affiliate link,TUE,7,18,76000,China,20,1,0,0,0,0
E#67368R,male,Tablet,1,Website,FRI,7,13,35000,Russia,67,0,0,0,0,0
T#89771N,male,Mobile,0,Social media ads,WED,11,22,76000,Malaysia,67,0,0,0,0,0
N#45107Q,female,Other,0,Email ,THU,11,27,40000,UK,17,1,0,0,0,0
E#95908B,male,Tablet,0,Website,TUE,12,26,40000,UK,63,1,0,0,0,0
F#33375Q,male,Mobile,0,Social media ads,SUN,7,18,40000,Malaysia,23,0,0,0,0,0
M#69932K,male,Other,0,Website,TUE,7,24,25000,USA,68,1,0,0,0,0
U#21118U,female,Tablet,0,Email ,WED,12,13,10000,Malaysia,39,1,0,0,0,0
R#86865N,female,Tablet,1,Social media ads,THU,13,17,10000,UK,36,1,0,0,0,0
B#34186O,male,PC,1,Social media ads,THU,8,16,58000,USA,20,1,0,0,0,0
F#94314D,female,PC,0,Google search,SUN,3,26,35000,India,31,1,0,0,0,0
F#21491J,female,Mobile,0,Google search,MON,9,19,10000,India,33,0,0,0,0,0
Y#61539N,male,Other,0,Social media ads,WED,8,23,25000,India,67,1,0,0,0,0
J#95658L,female,Tablet,0,Social media ads,WED,6,13,10000,Mexico,20,0,0,0,0,0
B#16299C,male,Tablet,0,Website,MON,5,25,10000,Malaysia,51,0,0,0,0,0
P#89834C,male,Tablet,1,Affiliate link,SUN,2,14,25000,India,21,0,0,0,0,0
C#11777E,female,Tablet,1,Google search,MON,10,15,10000,UK,48,0,0,0,0,0
M#56379V,male,PC,0,Email ,WED,15,24,100000,Russia,66,1,0,0,0,0
Q#33681F,female,Other,1,Other,FRI,3,21,100000,UK,68,0,0,0,0,0
K#85986G,male,Tablet,1,Website,SAT,15,15,76000,USA,42,1,0,0,0,0
V#79817B,male,Other,1,Youtube channel,FRI,7,19,100000,Russia,33,0,0,0,0,0
D#14382E,male,Mobile,1,Youtube channel,WED,10,20,10000,Russia,20,1,0,0,0,0
L#46515M,female,Tablet,1,Other,SAT,6,20,10000,USA,31,1,0,0,0,0
K#19653O,male,PC,1,Google search,SUN,8,25,35000,Russia,44,1,0,0,0,0
N#85203Q,female,PC,1,Other,WED,7,24,35000,India,39,0,0,0,0,0
Z#71707M,male,Mobile,1,Referral,THU,15,23,100000,Canada,30,0,0,0,0,0
T#37825B,male,Tablet,1,Email ,FRI,15,25,10000,Ireland,55,0,0,0,0,0
P#23988L,female,Tablet,0,Affiliate link,TUE,2,25,100000,China,32,0,0,0,0,0
R#55767K,female,PC,0,Referral,TUE,5,25,100000,China,67,1,0,0,0,0
W#64666P,male,Tablet,1,Email ,THU,2,19,35000,Malaysia,18,1,0,0,0,0
D#52257J,female,Tablet,1,Other,FRI,6,25,76000,Mexico,60,0,0,0,0,0
I#36962Y,male,Other,0,Referral,THU,11,26,35000,UK,51,1,0,0,0,0
J#55881B,male,Tablet,0,Social media ads,SUN,13,18,10000,USA,16,0,0,0,0,0
Y#12346B,male,PC,0,Website,TUE,7,13,25000,Russia,30,0,0,0,0,0
B#26346L,female,Other,1,Affiliate link,SAT,10,16,58000,Japan,51,1,0,0,0,0
E#65128I,male,Tablet,1,Website,WED,15,15,100000,Japan,35,1,0,0,0,0
J#46152H,male,Tablet,1,Youtube channel,MON,3,17,58000,Canada,29,0,0,0,0,0
B#69532N,female,PC,0,Affiliate link,SUN,14,27,40000,Japan,29,0,0,0,0,0
S#17059H,male,Mobile,0,Website,THU,5,24,76000,UK,48,1,0,0,0,0
Q#21605M,female,PC,0,Referral,WED,12,20,58000,Japan,26,1,0,0,0,0
H#20281J,male,Mobile,0,Other,SAT,5,22,35000,Russia,52,1,0,0,0,0
R#50867Q,female,Other,0,Referral,MON,11,27,25000,Canada,55,1,0,0,0,0
F#32913J,male,Other,1,Website,FRI,15,21,100000,USA,69,0,0,0,0,0
B#85032T,male,Mobile,0,Affiliate link,WED,8,19,100000,Russia,68,1,0,0,0,0
K#12802X,female,Other,1,Other,FRI,12,26,10000,China,55,0,0,0,0,0
X#37810X,female,Mobile,1,Google search,FRI,10,16,40000,Mexico,32,1,0,0,0,0
R#13691O,male,Tablet,0,Other,WED,7,25,35000,Japan,37,0,0,0,0,0
M#39743B,male,Other,0,Youtube channel,WED,15,16,58000,UK,54,1,0,0,0,0
E#23111V,male,Other,1,Affiliate link,FRI,11,21,100000,Canada,56,1,0,0,0,0
A#29433G,female,Other,1,Other,FRI,4,23,40000,Ireland,62,0,0,0,0,0
S#80986K,male,PC,0,Youtube channel,MON,8,19,76000,Japan,35,1,0,0,0,0
Y#17451I,female,Tablet,0,Affiliate link,MON,3,20,25000,USA,51,0,0,0,0,0
S#77239L,female,Tablet,0,Youtube channel,TUE,5,25,10000,Canada,18,1,0,0,0,0
N#24765X,male,Other,0,Other,SAT,7,19,100000,Canada,38,0,0,0,0,0
H#25031F,male,PC,1,Website,FRI,9,23,76000,India,65,1,0,0,0,0
D#75384P,male,Mobile,1,Youtube channel,MON,15,13,35000,Mexico,39,1,0,0,0,0
N#70270S,male,Mobile,0,Other,WED,6,26,35000,Ireland,70,1,0,0,0,0
Y#57232K,male,Other,1,Website,FRI,8,21,40000,Japan,34,0,0,0,0,0
W#88022A,female,Tablet,1,Social media ads,SAT,9,21,10000,India,50,0,0,0,0,0
C#15733A,female,PC,0,Other,TUE,5,24,40000,USA,28,1,0,0,0,0
K#18756T,male,Other,1,Other,TUE,12,21,100000,Canada,53,0,0,0,0,0
M#50260V,female,Tablet,1,Social media ads,THU,2,24,100000,India,48,0,0,0,0,0
E#69531C,male,PC,1,Referral,TUE,5,25,10000,Canada,62,0,0,0,0,0
B#33956L,female,PC,1,Other,FRI,6,26,100000,India,57,1,0,0,0,0
P#81180V,female,Other,1,Email ,FRI,13,17,58000,Canada,55,1,0,0,0,0
G#93628B,male,PC,1,Referral,SUN,8,18,58000,Ireland,36,0,0,0,0,0
F#44382M,male,PC,1,Website,MON,10,14,76000,Malaysia,56,1,0,0,0,0
O#78662X,female,Mobile,0,Social media ads,FRI,9,24,10000,USA,43,0,0,0,0,0
H#37956P,male,Tablet,0,Youtube channel,WED,3,15,58000,USA,17,0,0,0,0,0
P#56262L,female,Tablet,1,Referral,TUE,9,21,100000,Japan,56,0,0,0,0,0
J#16517J,male,PC,0,Other,FRI,4,24,100000,UK,27,1,0,0,0,0
P#17849R,male,Other,0,Google search,WED,2,21,58000,Malaysia,26,1,0,0,0,0
Z#48018K,male,Tablet,1,Email ,FRI,14,27,10000,Mexico,34,0,0,0,0,0
L#23718R,male,PC,1,Email ,MON,3,17,35000,Ireland,66,1,0,0,0,0
Q#75415N,male,Mobile,0,Other,MON,11,21,76000,USA,59,0,0,0,0,0
A#96799C,female,Mobile,0,Google search,TUE,5,13,25000,Ireland,34,0,0,0,0,0
T#53237U,male,PC,1,Google search,SAT,12,20,58000,Russia,70,1,0,0,0,0
X#46028E,female,Mobile,0,Website,MON,7,17,76000,USA,44,0,0,0,0,0
E#64525C,male,Other,1,Youtube channel,THU,9,16,40000,UK,26,1,0,0,0,0
C#67047V,female,Tablet,0,Referral,SAT,13,15,58000,Japan,31,1,0,0,0,0
T#60884N,female,PC,0,Website,SAT,11,23,58000,Russia,26,1,0,0,0,0
Z#60046E,female,Tablet,1,Other,SAT,12,23,35000,India,52,1,0,0,0,0
O#92813O,male,Tablet,1,Website,MON,6,15,100000,Mexico,26,0,0,0,0,0
Z#39105V,male,Tablet,0,Affiliate link,WED,11,16,35000,Malaysia,30,1,0,0,0,0
I#18106R,male,PC,0,Other,THU,11,20,35000,China,23,1,0,0,0,0
Y#31990J,male,Tablet,1,Social media ads,MON,15,21,25000,Japan,55,0,0,0,0,0
E#71720F,male,Other,1,Social media ads,MON,6,23,100000,Japan,24,1,0,0,0,0
E#54989X,male,Mobile,1,Website,FRI,7,26,40000,Malaysia,53,1,0,0,0,0
F#87926V,male,PC,1,Referral,FRI,9,26,58000,China,38,0,0,0,0,0
E#69165I,female,Mobile,0,Email ,WED,15,21,40000,Malaysia,48,1,0,0,0,0
Y#35584L,female,Mobile,0,Email ,MON,9,21,25000,Russia,45,0,0,0,0,0
R#16821O,male,PC,0,Referral,SUN,10,13,25000,India,62,0,0,0,0,0
R#96197B,female,PC,1,Social media ads,WED,14,21,25000,Malaysia,16,0,0,0,0,0
E#28371O,female,PC,1,Referral,SUN,14,27,10000,Russia,48,0,0,0,0,0
U#26192T,male,Mobile,0,Referral,FRI,2,25,100000,USA,20,0,0,0,0,0
X#73814X,male,Tablet,0,Email ,THU,8,27,58000,Ireland,46,1,0,0,0,0
F#89779J,female,Tablet,1,Google search,MON,2,26,58000,Japan,28,0,0,0,0,0
B#22103D,male,Mobile,0,Referral,SAT,6,25,25000,Mexico,61,1,0,0,0,0
G#82957G,female,Tablet,0,Google search,FRI,15,21,40000,UK,25,0,0,0,0,0
W#51758S,male,Tablet,1,Email ,MON,12,17,100000,USA,48,0,0,0,0,0
V#69275P,female,Tablet,1,Other,SUN,15,15,25000,Ireland,58,0,0,0,0,0
